GEM unit/phase ID,GEM location ID,Country/Area,Wiki URL,Plant name,Unit name,Plant name (other),Plant name (local),Owner,Parent,Capacity (MW),Status,Start year,Retired year,Planned retirement,Combustion technology,Coal type,Coal source,Alternate Fuel,Location,"Local area (taluk, county)","Major area (prefecture, district)","Subnational unit (province, state)",Subregion,Region,Latitude,Longitude,Location accuracy,Permits,Permit Date,Permit Parsed,Captive,Captive industry use,Captive residential use,Plant age (years),Capacity factor,Heat rate (Btu per kWh),Emission factor (kg of CO2 per TJ),Annual CO2 (million tonnes / annum),Remaining plant lifetime (years),Lifetime CO2 (million tonnes)
G100000115274,L100000104890,China,https://www.gem.wiki/Asia_Symbol_captive_power_station,Asia Symbol captive power station,Unit 1,,"山东亚太森博浆纸有限公司热电, 山东亚太森博浆纸有限公司热电项目",Asia Symbol (Shangdong) Pulp and Paper Co Ltd [100%],Singapore Asia Pacific Symbo Rizhao Co Ltd (ASIA SYMBOL RIZHAO PTE.LTD) [90.0%]; AP Trading Enterprise [9.3%]; other [0.7%],35,retired,2001,2023,,unknown,unknown,,,,Chengjiazhuang,Rizhao,Shandong,Eastern Asia,Asia,35.374797,119.50857,exact,,,,pulp & paper,both,,22,0.53,12047,96100,0.198492942,0,0
G100000100438,L100000101306,China,https://www.gem.wiki/Baiyanghe_power_station,Baiyanghe power station,Unit 1,,华能白杨河电厂,Huaneng Shandong Power Generation Co Ltd Baiyanghe Power Plant [100%],Huaneng Power International Inc [80.0%]; China Huaneng Group Co Ltd [20.0%],50,retired,1969,2007,,subcritical,anthracite,,,1 Quanshui Road,Boshan District,Zibo,Shandong,Eastern Asia,Asia,36.471944,117.8425,exact,,,,,,,38,0.53,12617.9,98300,0.303798293,0,0
G100000100676,L100000101434,China,https://www.gem.wiki/Bayi_Zaozhuang_power_station,Bayi Zaozhuang power station,Unit 3,,枣矿集团八一热电水煤浆煤矸石发电项目,Zaozhuang Bayi Coal Water Slurry Thermal Power Co Ltd [100%],Zaozhuang Bayi Coal Water Slurry Thermal Power Co Ltd [100.0%],350,operating,2018,,,subcritical,waste coal,,,Tianshan Road,Xuecheng District,Zaozhuang,Shandong,Eastern Asia,Asia,34.828388,117.27105,exact,6-Jan-15,6-Jan-15,"Year: 2015, Month: 1, Day: 6",,,,6,0.53,9572.2,94600,1.552550271,34,52.78670922
G100000110802,L100000101412,China,https://www.gem.wiki/Beihai_New_Area_Heating_power_station,Beihai New Area Heating power station,Phase II Unit 5,"滨州北海公共供热中心 (Phase I Unit 1-4), 魏桥铝电北海二电 (Phase II Unit 5-8)",魏桥集团北海新区供热中心,Binzhou Lvfeng Thermal Power Co Ltd [100%],Hongqiao Investment (Hong Kong) [94.5%]; other [5.5%],330,operating,2015,,,subcritical,unknown,,,Beihai New Area,Wudi,Binzhou,Shandong,Eastern Asia,Asia,38.022916,117.972606,exact,,,,aluminum,both,,9,0.53,9572.2,96100,1.487043997,31,46.09836391
G100000100893,L100000101307,China,https://www.gem.wiki/Binzhou_Boxing_power_station,Binzhou Boxing power station,Phase I Unit 1,,国家能源集团博兴发电厂,National Energy Boxing Power Generation Co Ltd [100%],GD POWER Development Co Ltd [61.0%]; China Energy Investment Corp [17.0%]; Power Construction Corporation of China Ltd [8.0%]; Boxing County Investment and Financing Service Center [5.0%]; State Power Investment Corp Ltd [4.2%]; Shanghai Luyuan Investment Co Ltd [2.8%]; Shanghai Dingjing Investment Co Ltd [1.7%]; other [0.4%],1000,construction,2024,,,ultra-supercritical,unknown,,,Chunhua Town,Boxing,Binzhou,Shandong,Eastern Asia,Asia,37.27629,118.330855,exact,21-Dec-15,21-Dec-15,"Year: 2015, Month: 12, Day: 21",,,,0,0.53,8272,96100,3.894113808,40,155.7645523
G100000100895,L100000101308,China,https://www.gem.wiki/Binzhou_Heating_Supply_Center_power_station,Binzhou Heating Supply Center power station,Unit 1,"滨州市滨北新材料有限公司 (Unit 5, Unit 6, Unit 7, Unit 8)",魏桥集团滨州市供热中心,Binzhou Gongjian Investment Development Co Ltd [100%],Shandong Weiqiao Investment Holding Co Ltd [31.2%]; Shandong Weiqiao Pioneering Group Co Ltd [30.0%]; Binzhou Hanchuang Technology Development Partnership LP [20.0%]; other [18.8%],60,retired,2010,2020,,subcritical,unknown,,,,High Tech Development District,Binzhou,Shandong,Eastern Asia,Asia,37.348167,117.890928,exact,,,,aluminum,,,10,0.53,11312.6,96100,0.319530115,0,0
G100000100915,L100000101309,China,https://www.gem.wiki/Binzhou_Works_power_station,Binzhou Works power station,Unit 7,,魏桥创业集团滨州自备电厂,Weiqiao Textile Co Ltd Binzhou Thermal Power Plant [100%],other [48.5%]; Shandong Weiqiao Investment Holding Co Ltd [19.8%]; Shandong Weiqiao Pioneering Group Co Ltd [19.0%]; Binzhou Hanchuang Technology Development Partnership LP [12.7%],45,retired,,2012,,subcritical,anthracite,,,,Zouping,Binzhou,Shandong,Eastern Asia,Asia,37.381,117.97,approximate,,,,aluminum,,,20,0.53,12182.8,98300,0.263990241,0,0
G100000112887,L100000101311,China,https://www.gem.wiki/CHALCO_Shandong_Branch_Power_Station,CHALCO Shandong Branch Power Station,Unit 5,,中铝山东分公司热电厂,CHALCO Shandong Co Ltd [100%],Aluminum Corporation of China Ltd [100.0%],46,retired,2007,2021,,unknown,unknown,,,Fengshui Town,Zhangdian District,Zibo,Shandong,Eastern Asia,Asia,36.748437,118.069386,exact,,,,aluminum,both,heat,14,0.53,11186.5,96100,0.242242407,0,0
G100000114940,L100000104500,China,https://www.gem.wiki/Changle_Shengshi_power_station,Changle Shengshi power station,Unit 5,,昌乐盛世热电,Changle Shengshi Power Plant Co Ltd [100%],China Yuanbo Paper [79.9%]; SHENGTAI HOLDING [20.0%],30,operating,2009,,,unknown,unknown,,,224 Provincial Road,Changle,Weifang,Shandong,Eastern Asia,Asia,36.739314,118.851756,exact,,,,,,,15,0.53,11186.5,96100,0.157984178,25,3.949604459
G100000114444,L100000104653,China,https://www.gem.wiki/Chenming_Mill_Shouguang_Meilun_Paper_Mill_captive_power_station,Chenming Mill Shouguang Meilun Paper Mill captive power station,Unit 3,,晨鸣纸业寿光美伦纸业自备电厂,,,155,operating,,,,unknown,unknown,,,,Shouguang,Weifang,Shandong,Eastern Asia,Asia,36.859677,118.699591,exact,,,,pulp & paper,both,,20,0.53,12047,96100,0.879040172,20,17.58080344
