FID,country,country_lo,name,gppd_idnr,capacity_m,latitude,longitude,primary_fu,other_fuel,other_fu_1,other_fu_2,commission,owner,source,url,geolocatio,wepp_id,year_of_ca,generation,generati_1,generati_2,generati_3,generati_4,generati_5,generati_6,generati_7,estimated_,estimated1,estimate_1,estimate_2,estimate_3,estimate_4,estimate_5,estimate_6,estimate_7,estimate_8
0,CHN,China,Baiyanghe power station,WRI1070488,890,36.471899999999998,117.842699999999994,Coal, , , ,2002,Huaneng Shandong Power Corporation,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,1028531, , , , , , , , , , , , , ,4336.689999999999600,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
1,CHN,China,Beihai New Area Heating power station,WRI1070490,900,38.022900000000000,117.972600000000000,Coal, , , ,2014,Shandong Weiqiao Aluminum Power Co Ltd,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT, , , , , , , , , , , , , , ,4385.420000000000073,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
2,CHN,China,Binzhou - Huji 1-4 Coal,WRI1070494,1320,37.349499999999999,117.778400000000005,Coal, , , ,2014,Weiqiao Huimin New Material Co Ltd,Industry About,https://industryabout.com/country-territories-3/1705-china/fossil-fuels-energy/33449-binzhou-huji-1-4-coal-power-plant,Industry About, , , , , , , , , , , , , , ,6431.949999999999818,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
3,CHN,China,Binzhou Heating Supply Center power station,WRI1070718,780,37.348199999999999,117.890900000000002,Coal, , , ,2012,Shandong Weiqiao Aluminum Power Co Ltd,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT, , , , , , , , , , , , , , ,3800.690000000000055,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
4,CHN,China,CHALCO Shandong Branch Power Station,WRI1075578,138,36.748399999999997,118.069400000000002,Coal, , , ,2012,CHALCO Shandong Branch,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT, , , , , , , , , , , , , , ,672.429999999999950,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
5,CHN,China,Chiping Haoji power station,WRI1070058,1400,36.486499999999999,116.333600000000004,Coal, , , ,2013,Chiping Xinyuan Aluminum Co Ltd,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,1087421, , , , , , , , , , , , , ,6821.760000000000218,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
6,CHN,China,Chiping Xinfa power station,WRI1075588,620,36.607900000000001,116.245599999999996,Coal, , , ,2002,Shandong Renping Xinfa Aluminium Co,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT, , , , , , , , , , , , , , ,3021.059999999999945,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
7,CHN,China,Datang Binzhou power station,WRI1070493,700,37.467399999999998,118.046999999999997,Coal, , , ,2015,Datang Shandong Power Generation Co Ltd,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,1086264, , , , , , , , , , , , , ,3410.880000000000109,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
8,CHN,China,Dongying Coastal power station,WRI1070714,600,37.428800000000003,118.858099999999993,Coal, , , ,2012,Dongying Coastal Heating Co Ltd,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,1088135, , , , , , , , , , , , , ,2923.610000000000127,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
9,CHN,China,Dongying Huatai Chemical power station,WRI1075598,200,37.408999999999999,118.875200000000007,Coal, , , ,2010,Dongying Huatai Chemical Group,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT, , , , , , , , , , , , , , ,974.529999999999973,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
