GEM unit/phase ID,GEM location ID,Country/Area,Wiki URL,Plant name,Unit name,Plant name (other),Plant name (local),Owner,Parent,Capacity (MW),Status,Start year,Retired year,Planned retirement,Combustion technology,Coal type,Coal source,Alternate Fuel,Location,"Local area (taluk, county)","Major area (prefecture, district)","Subnational unit (province, state)",Subregion,Region,Latitude,Longitude,Location accuracy,Permits,Permit Date,Permit Parsed,Captive,Captive industry use,Captive residential use,Plant age (years),Capacity factor,Heat rate (Btu per kWh),Emission factor (kg of CO2 per TJ),Annual CO2 (million tonnes / annum),Remaining plant lifetime (years),Lifetime CO2 (million tonnes)
G100000100098,L100000101596,China,https://www.gem.wiki/Aksu_Cogen_power_station,Aksu Cogen power station,Unit 1,,浙能新疆阿克苏纺织工业城热电厂,Zheneng Aksu Thermal Power Co Ltd [100%],Zhejiang Zheneng Electric Power Co Ltd [100.0%],350,operating,2016,,,supercritical,unknown,,,Textile Industry Town,Aksu,Aksu,Xinjiang,Eastern Asia,Asia,41.154153,80.399732,exact,15-Jan-15,15-Jan-15,"Year: 2015, Month: 1, Day: 15",,,,8,0.53,9249.9,96100,1.52406397,32,48.77004704
G100000100108,L100000101597,China,https://www.gem.wiki/Aksu_Xuzhou_cogen_power_station,Aksu Xuzhou cogen power station,Unit 1,一期热电联产项目,徐矿集团新疆阿克苏电厂,Xinjiang Aksu Thermal Power Co Ltd [100%],Jiangsu Xukuang Energy Co Ltd [100.0%],200,operating,2011,,,subcritical,unknown,,,Western Heavey Industry Park near 314 National Road,Aksu,Aksu,Xinjiang,Eastern Asia,Asia,41.078773,80.16948,exact,30-Sep-09,30-Sep-09,"Year: 2009, Month: 9, Day: 30",,,,13,0.53,11312.6,96100,1.065100384,27,28.75771036
G100000113040,L100000100602,China,https://www.gem.wiki/Anda_Cogen_power_station,Anda Cogen power station,Unit 1,安达鑫玛热电,鑫玛热电集团安达热电,Anda Shunxiang Thermal Power Co Ltd [100%],Heilongjiang Province Xinma Thermoelectricity Group Co Ltd [50.0%]; natural person(s) [50.0%],50,operating,2014,,,subcritical,unknown,,,Tiexi Tiancaizhan,Anda,Suihua,Heilongjiang,Eastern Asia,Asia,46.399604,125.298159,exact,15-Feb-15,15-Feb-15,"Year: 2015, Month: 2, Day: 15",,,,10,0.53,11312.6,96100,0.266275096,30,7.988252877
G100000100236,L100000100200,China,https://www.gem.wiki/Anhui_Bengbu_power_station,Anhui Bengbu power station,Phase II Unit 3,,国电蚌埠发电厂,Guodian Bengbu Power Generation Co Ltd [100%],An Hui Wenergy Co Ltd [39.2%]; GD POWER Development Co Ltd [23.4%]; China Shenhua Energy Co Ltd [17.4%]; Huaihe Energy Holding Group Co Ltd [16.6%]; other [1.8%]; China Cinda Asset Management Co Ltd [1.7%],660,operating,2018,,,ultra-supercritical,bituminous,,,Xiaoyi Township,Huaiyuan,Bengbu,Anhui,Eastern Asia,Asia,32.78444,117.11472,exact,12-May-15,12-May-15,"Year: 2015, Month: 5, Day: 12",,,,6,0.53,8272,94600,2.529998853,34,86.01996099
G100000115310,L100000100201,China,https://www.gem.wiki/Anhui_Huainan_Panji_power_station,Anhui Huainan Panji power station,Phase II Unit 3,,"淮南矿业潘集电厂, 淮河能源潘集电厂2×660兆瓦二期项目",Huaihe Energy Power Group Co Ltd [100%],Huaihe Energy Holding Group Co Ltd [74.0%]; China Development Bank Corp [10.7%]; other [7.8%]; China Cinda Asset Management Co Ltd [7.4%],660,construction,2025,,,ultra-supercritical,unknown,,,Jiahe,Panji District,Huainan,Anhui,Eastern Asia,Asia,32.76917,116.759595,exact,28-Sep-22,28-Sep-22,"Year: 2022, Month: 9, Day: 28",,,,0,0.53,8272,96100,2.570115113,40,102.8046045
G100000101996,L100000100207,China,https://www.gem.wiki/Anhui_Huainan_Tianjia%27an_power_station,Anhui Huainan Tianjia'an power station,Unit 1,"淮南田家庵发电厂异地扩建项目 (Unit 15 & 16), 大唐淮南矿业安徽电力股份公司淮南田家庵发电厂 (Unit 5 & 6), 高皇电厂 (Unit 15 & 16)",大唐淮南田家庵发电厂,Anhui Electric Power Co Ltd [100%],China Datang Corp [47.5%]; GD POWER Development Co Ltd [44.9%]; other [7.6%],120,retired,1972,2007,,subcritical,unknown,,,Dianchang Road,Tianjia'an,Huainan,Anhui,Eastern Asia,Asia,32.6699252,117.0253207,exact,,,,,,,35,0.53,12617.9,96100,0.712797949,0,0
G100000115509,L100000104928,China,https://www.gem.wiki/Anhui_Huaining_cogen_power_station,Anhui Huaining cogen power station,Unit 3,,安徽怀宁经济开发区热电联产,Anhui Yingyi Thermal Power Co Ltd [100%],INTCO MEDICAL Technology Co Ltd [80.0%]; Anhui Yongning Investment Holding Group Co Ltd [20.0%],30,construction,,,,CFB,unknown,,,,Huaining,Anqing,Anhui,Eastern Asia,Asia,30.757948,116.800461,exact,2-Nov-20,2-Nov-20,"Year: 2020, Month: 11, Day: 2",,,,0,0.53,10442.4,96100,0.147475438,40,5.899017509
G100000100240,L100000100202,China,https://www.gem.wiki/Anhui_Hwasu_power_station,Anhui Hwasu power station,Phase I Unit 1,,淮北矿业华塑自备热电厂,Anhui Hwasu Co Ltd [100%],Anhui Hwasu Co Ltd [100.0%],300,operating,2012,,,subcritical,unknown,,,Luqiao Town,Dingyuan,Chuzhou,Anhui,Eastern Asia,Asia,32.584793,117.253237,exact,31-Jul-15,31-Jul-15,"Year: 2015, Month: 7, Day: 31",chemicals,both,,12,0.53,10442.4,96100,1.474754377,28,41.29312257
G100000114217,L100000104586,China,https://www.gem.wiki/Anhui_Xinyuan_power_station,Anhui Xinyuan power station,Unit 3,,安徽新源热电,Anhui Xinyuan Thermoelectricity Co Ltd [100%],Bengbu Zhongcheng State Owned Capital Investment and Operation Co Ltd [85.0%]; Anhui Province Energy Group Co Ltd [15.0%],30,operating,1989,,,subcritical,unknown,,,220 Changzheng Road,Yuhui,Bengbu,Anhui,Eastern Asia,Asia,32.93653,117.323709,exact,,,,,,,35,0.53,12617.9,96100,0.178199487,5,0.890997436
G100000100245,L100000100203,China,https://www.gem.wiki/Anhui_Xuancheng_power_station,Anhui Xuancheng power station,Phase I Unit 1,,中煤宣城发电厂,SDIC Xuancheng Electric Power Co Ltd [100%],China National Coal Group [51.0%]; China Coal Xinji Energy Co Ltd [49.0%],660,operating,2008,,,ultra-supercritical,bituminous,,,Xiangyang Town,Xuanzhou District,Xuancheng,Anhui,Eastern Asia,Asia,30.86956,118.865,exact,31-Aug-06,31-Aug-06,"Year: 2006, Month: 8, Day: 31",,,,16,0.53,9099.2,94600,2.782998738,24,66.79196971
