country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,generation_data_source,estimated_generation_gwh_2013,estimated_generation_gwh_2014,estimated_generation_gwh_2015,estimated_generation_gwh_2016,estimated_generation_gwh_2017,estimated_generation_note_2013,estimated_generation_note_2014,estimated_generation_note_2015,estimated_generation_note_2016,estimated_generation_note_2017
CHN,China,APP Zhenjiang Jindong Mill power station,WRI1075566,290,32.1944,119.6998,Coal,,,,2000,Asia Pulp & Paper China,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,,,,,,,1413.08,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,Aksu Cogen power station,WRI1075567,700,41.1542,80.3997,Coal,,,,2016,Zhejiang Zheneng Elec Pow Co,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,,,,,,,3410.88,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,Aksu Xuzhou power station,WRI1070222,400,41.0791,80.1685,Coal,,,,2011,Xuzhou Coal Mining Group Company,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,1082541,,,,,,,,,,,,,,1949.07,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,Alashan Left Qi Wusitai power station,WRI1070145,600,39.4463,106.6676,Coal,,,,2009,China Guodian Group Corporation,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,1069831,,,,,,,,,,,,,,2923.61,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,Anda Cogen power station,WRI1075568,100,46.3996,125.2982,Coal,,,,2014,Xinma Cogen Group,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,,,,,,,487.26,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,Anhui Bengbu power station,WRI1070400,2520,32.7845,117.115,Coal,,,,2013,Anhui Bengbu Power Station,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,1070479,,,,,,,,,,,,,,12279.18,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,Anhui Hwasu power station,WRI1070535,600,32.5856,117.2532,Coal,,,,2012,Huaibei Coal Mining (Group) Co Ltd,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,,,,,,,2923.61,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,Anhui Xuancheng power station,WRI1070277,1320,30.8695,118.8648,Coal,,,,2012,SDIC Huajing Power Holdings Co Ltd,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,1070478,,,,,,,,,,,,,,6431.95,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,Anshan Steel Company No 2 power station,WRI1070473,345,41.133,122.9649,Coal,,,,1973,Anshan Iron and Steel Group Corporation (Ansteel),GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,1061481,,,,,,,,,,,,,,1681.07,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,Anwen Songzao power station,WRI1070561,1620,28.6411,106.7531,Coal,,,,2015,Chongqing Energy Investment Group,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,1069872,,,,,,,,,,,,,,7893.75,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,Aoweiqianyuan Captive power station,WRI1075569,100,39.2507,111.143,Coal,,,,,Shanxi Aoweiqianyuan Chemical Co.,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,,,,,,,487.26,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,Aral Xinhu Cogen power station,WRI1070220,800,40.5897,81.1955,Coal,,,,2013,Nongyishi Electric Power Company,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,1094642,,,,,,,,,,,,,,3898.15,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,Baguanhe Washery power station,WRI1075570,270,26.5957,101.6119,Coal,,,,2007,Panzhihua Coal Group,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,,,,,,,1315.62,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,Baise Coal,WRI1070617,1320,23.7882,106.8155,Coal,,,,2009,China Huaneng Group Corporation (CHNG),Industry About,https://industryabout.com/country-territories-3/1705-china/fossil-fuels-energy/25666-baise-coal-power-plant,Industry About,,,,,,,,,,,,,,,6431.95,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,Baise Smelter power station,WRI1070163,700,23.7857,106.8202,Coal,,,,2016,Guangxi Baise Mining Group Company Limited,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,1100909,,,,,,,,,,,,,,3410.88,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,Baise Tianyang power station,WRI1070431,300,23.7883,106.815,Coal,,,,2007,Guangxi Investment Group Co Ltd,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,1088177,,,,,,,,,,,,,,1461.8,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,Baishan - Hunjiang 2 Coal,WRI1070355,600,41.97,126.473,Coal,,,,2007,China Power Investment Corporation (CPI),Industry About,https://industryabout.com/country-territories-3/1705-china/fossil-fuels-energy/33255-baishan-hunjiang-2-coal-power-plant,Industry About,1060624,,,,,,,,,,,,,,2923.61,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,Baitao cogen power station,WRI1075571,100,29.5856,107.5165,Coal,,,,2012,Jianfeng Industry Group,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,,,,,,,487.26,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,Baiyanghe power station,WRI1070488,890,36.4719,117.8427,Coal,,,,2002,Huaneng Shandong Power Corporation,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,1028531,,,,,,,,,,,,,,4336.69,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,Banshan Coal,WRI1070247,250,30.3612,120.1435,Coal,,,,,Shenhua Guohua Electric Power Co Ltd,Industry About,https://industryabout.com/country-territories-3/1705-china/fossil-fuels-energy/32905-banshan-coal-power-plant,Industry About,,,,,,,,,,,,,,,1218.17,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,Baoding Northwest Suberb power station,WRI1075572,350,38.9618,115.3672,Coal,,,,2017,Shenzhen Energy,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,,,,,,,1705.44,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,Baoshan Works power station,WRI1070020,1050,31.4424,121.4361,Coal,,,,1986,,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,1013911,,,,,,,,,,,,,,5116.32,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,Baosteel Zhanjiang power station,WRI1075573,700,21.0699,110.494,Coal,,,,2014,Baosteel Zhanjiang I&S Co Ltd,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,,,,,,,3410.88,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,Baotou Aluminum power station,WRI1075574,1360,40.5572,110.1484,Coal,,,,2016,Baotou Aluminum,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,,,,,,,6626.85,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,Baotou Donghua power station,WRI1070721,600,40.5781,110.0738,Coal,,,,2005,China Huadian Group Corporation,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,1062651,,,,,,,,,,,,,,2923.61,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,Baotou East Hope power station,WRI1070043,1320,40.5956,109.7828,Coal,,,,2003,Baotou Rare Earth & Aluminum Co Ltd,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,1063784,,,,,,,,,,,,,,6431.95,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,Baotou Hexi power station,WRI1070720,1200,40.5694,109.79,Coal,,,,2006,China Huadian Group Corporation,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,1081484,,,,,,,,,,,,,,5847.22,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,Baotou Olefins power station,WRI1075575,600,40.6081,109.6368,Coal,,,,2009,China Shenhua Energy Co Ltd,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,,,,,,,2923.61,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,Baotou Works power station,WRI1070036,200,40.6601,109.7585,Coal,,,,2001,Baotou Iron & Steel Co Ltd,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,,,,,,,974.53,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,Baqiao power station,WRI1070773,850,34.2851,109.0496,Coal,,,,2007,Datang Shaanxi Power Generation Co Ltd,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,1024465,,,,,,,,,,,,,,4141.78,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,Bayanhua Jinshan power station,WRI1070727,1200,44.9317,118.7082,Coal,,,,2010,Jinshan Energy Co Ltd,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,1059312,,,,,,,,,,,,,,5847.22,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,Beian power station,WRI1070507,100,48.2328,126.5287,Coal,,,,1997,China Guodian Group Corporation,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,1058772,,,,,,,,,,,,,,487.26,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,Beihai Bebuwan power station,WRI1070616,640,21.5821,109.581,Coal,,,,2004,SDIC Huajing Power Holdings Ltd Electric Power Co Ltd,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,1062675,,,,,,,,,,,,,,3118.52,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,Beihai New Area Heating power station,WRI1070490,900,38.0229,117.9726,Coal,,,,2014,Shandong Weiqiao Aluminum Power Co Ltd,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,,,,,,,4385.42,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,Beijing - Shijingshan Coal,WRI1070135,880,39.923,116.1375,Coal,,,,1988,Beijing Energy Investment Holding Co Ltd,Industry About,https://industryabout.com/country-territories-3/1705-china/fossil-fuels-energy/33243-beijing-shijingshan-coal-power-plant,Industry About,,,,,,,,,,,,,,,4287.96,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,Beitun Cogen power station,WRI1075576,270,47.325,87.7678,Coal,,,,2016,Xinjiang Tunfu Cogen Power Co,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,,,,,,,1315.62,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,Bijie power station,WRI1070466,300,27.2765,105.3479,Coal,,,,2009,China Huadian Group Corporation,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,1086094,,,,,,,,,,,,,,1461.8,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
